name,album,date,acousticness,danceability,energy,liveness,speechiness,tempo,valence,popularity,minutes
Vigilante Shit,Midnights,2022-10-21,0.173,0.798,0.277,0.121,0.39,79.846,0.163,80,2.75
Red (Taylor's Version),Red (Taylor's Version),2021-11-12,0.00108,0.516,0.777,0.0761,0.0375,125.047,0.408,80,3.72
We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),2021-11-12,0.0317,0.567,0.686,0.0732,0.175,172.014,0.716,80,3.22
willow,evermore,2020-12-11,0.833,0.392,0.574,0.145,0.17,81.112,0.529,80,3.58
the 1,folklore,2020-07-24,0.757,0.777,0.357,0.108,0.0522,139.883,0.172,80,3.50
my tears ricochet,folklore,2020-07-24,0.806,0.456,0.263,0.0749,0.0332,129.86,0.111,80,4.26
mirrorball,folklore,2020-07-24,0.687,0.553,0.413,0.0594,0.0334,110.107,0.379,80,3.48
Cornelia Street,Lover,2019-08-23,0.781,0.824,0.624,0.1,0.0827,102.012,0.248,80,4.79
ME! (feat. Brendon Urie of Panic! At The Disco),Lover,2019-08-23,0.033,0.61,0.83,0.118,0.0571,182.162,0.728,80,3.22
End Game,reputation,2017-11-10,0.00845,0.649,0.589,0.108,0.0558,159.073,0.151,80,4.08
Call It What You Want,reputation,2017-11-10,0.186,0.598,0.504,0.34,0.0731,163.954,0.252,80,3.39
